1995;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;452.0;3.8783185840707963;0.9268696986778688
1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;131.0;3.2061068702290076;0.9628009175833634
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;90.0;3.033333333333333;1.2060035010083692
1995;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;209.0;3.550239234449761;0.9627574235717318
1995;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;86.0;3.302325581395349;0.9409268987973912
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26.0;3.576923076923077;1.2762046171566968
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;392.0;3.798469387755102;0.9807835809883648
1995;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;219.0;3.9954337899543377;0.999989574808568
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;299.0;3.8963210702341136;1.0406229694142028
1996;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;89.0;3.831460674157303;1.0082352482775077
1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;236.0;3.847457627118644;1.0666526021288572
1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;267.0;4.385767790262173;0.8239530131029836
1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;184.0;3.4184782608695654;1.0288690865962962
1994;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;183.0;3.9672131147540983;0.9967249065221337
1996;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;293.0;3.7781569965870307;0.9785763232386446
1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;39.0;3.2051282051282053;1.0172735602501215
1996;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;92.0;3.119565217391304;1.1688194648442785
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10.0;2.8;1.2489995996796797
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;69.0;3.9565217391304346;1.0554864612193118
1995;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;72.0;3.4166666666666665;1.221906524884598
1996;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;84.0;2.761904761904762;1.042193744201871
1996;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;297.0;4.151515151515151;0.9608179354015446
1996;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;182.0;4.1208791208791204;0.8495010149489096
1996;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;174.0;3.4482758620689653;0.9972216655974242
1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;293.0;3.4436860068259385;1.0324443627426798
1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73.0;3.452054794520548;0.891990169649299
1995;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.0;3.1052631578947367;1.0871532199880474
1995;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;276.0;3.931159420289855;0.8068816989091072
1995;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;114.0;2.6666666666666665;1.0231244429349704
1967;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37.0;3.945945945945946;0.8365290562455225
