24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;272;3.610294117647059;1.5966464076405467;
53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;62;3.7096774193548385;1.0618720253833946;
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;54;2.7962962962962963;1.4860237596086656;
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;24;4.333333333333333;0.8405797101449276;
33;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;175;2.874285714285714;1.8576683087027916;
42;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;3.6350710900473935;1.0804784473030902;
57;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;3.965260545905707;1.1331185264743313;
36;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;3.7966101694915255;1.5441262419637636;
29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;22;4.2727272727272725;0.8744588744588745;
53;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;184;4.206521739130435;0.3396293656450465;
39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;181;3.4640883977900554;0.8723143032535311;
28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;51;4.392156862745098;0.6031372549019616;
47;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;636;3.09748427672956;2.0062298816421578;
45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;98;4.091836734693878;1.0739532926572684;
49;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;2.875;1.799757281553398;
21;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;4.328571428571428;1.0855087358684492;
30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;28;3.0357142857142856;1.2949735449735453;
35;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;277;3.88086642599278;0.7212630147020337;
40;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;3.55;0.6815789473684213;
42;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;48;3.1041666666666665;1.3293439716312059;
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;179;2.670391061452514;1.7615341158747146;
25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;128;3.3515625;2.229761318897638;
30;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;3.6357615894039736;0.9131125827814566;
21;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;4.323529411764706;0.6698858647936786;
39;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;4.051282051282051;0.3869463869463867;
49;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;2.94392523364486;0.7326750132251812;
40;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;25;3.24;0.7733333333333338;
